,Coef,SE,p,OR,OR_lo,OR_hi
const,-0.7849,0.2234,0.000442,0.4562,0.2944,0.7068
Rp,-0.1634,0.0608,0.007163,0.8492,0.7538,0.9566
EDU_TIER,-0.2068,0.0332,0.0,0.8132,0.7619,0.8679
YEARS_US,0.0002,0.0054,0.966289,1.0002,0.9896,1.011
log_INC,-0.0504,0.0167,0.002576,0.9508,0.9201,0.9825
