CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11000066,2210.1301981,,,,,,,5,99998,4,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000068,5145.1700042,1,15000.0,,987.0,400932.0,2002.0,4,99999,5,42.0,AHS_2023,2023,1,0,4.0,21.0,690.0,,,,,0.75,0.7,
11000069,5647.6876202,2,106000.0,2700.0,,,2019.0,1,99998,7,451.0,AHS_2023,2023,0,1,5.0,4.0,1100.0,2.4545454545454546,,,,1.0,0.13333333333333333,1.195959595959596
11000071,709.89938309,2,20000.0,950.0,,,2022.0,7,99998,4,100.0,AHS_2023,2023,0,1,3.0,1.0,1100.0,0.8636363636363636,0.0,0.0,0.0,0.5,0.03333333333333333,0.4656565656565657
11000073,7335.9650008,1,36000.0,,,190594.0,1989.0,7,99998,6,252.0,AHS_2023,2023,1,0,4.0,30.0,1100.0,,,,,0.75,1.0,
11000076,1169.2868477,,,,,331679.0,,5,37980,7,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000078,546.04793159,1,73000.0,,961.0,410766.0,2004.0,1,99998,9,501.0,AHS_2023,2023,1,0,3.0,19.0,1100.0,,,,,0.5,0.6333333333333333,
11000081,4221.4394339,,,,,,,7,99998,6,,AHS_2023,2023,0,0,,,1100.0,,,,,,,
11000084,1000.8921621,,,,,,,5,47900,3,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000085,277.52351983,,,,,,,5,47900,3,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000089,1284.4299232,1,411000.0,,1371.0,448615.0,2010.0,5,47900,6,501.0,AHS_2023,2023,1,0,5.0,13.0,1200.0,,,,,1.0,0.43333333333333335,
11000090,233.11449468,,,,,,,5,47900,3,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000095,1594.6084609,2,215000.0,5100.0,,,2022.0,5,47900,8,501.0,AHS_2023,2023,0,1,5.0,1.0,1200.0,2.6881720430107525,,,,1.0,0.03333333333333333,1.2405017921146952
11000097,1000.8921621,,,,,491407.0,,5,47900,3,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000101,932.54977646,2,63500.0,1500.0,,,2018.0,9,99998,6,203.0,AHS_2023,2023,0,1,3.0,5.0,1700.0,0.8823529411764706,0.0,0.0,0.0,0.5,0.16666666666666666,0.5163398692810458
11000106,2258.8130651,,,,,,,9,99998,5,,AHS_2023,2023,0,0,,,1700.0,,,,,,,
11000116,822.6889463,2,0.0,50.0,,,2020.0,6,99998,5,1.0,AHS_2023,2023,0,1,1.0,3.0,550.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.1,0.06363636363636364
11000117,3288.3321566,1,26600.0,,,99489.0,2003.0,6,99998,7,133.0,AHS_2023,2023,1,0,4.0,20.0,550.0,,,,,0.75,0.6666666666666666,
11000120,935.65026,1,76000.0,,,761075.0,1990.0,5,47900,5,422.0,AHS_2023,2023,1,0,5.0,30.0,1200.0,,,,,1.0,1.0,
