yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
19,191,2061.5348925467765,2,93,6,8,2,1,0,2,0,48223.2092032779,2,504942.0518602029,4,2,0.0,999.0304396843292,0,0,0,1233.3709131905298,0.0,500871.92784667417,0.0,2016,SCF,0,1,0.0,3,0.24860156497832292
20,201,29.51069456710719,1,61,4,14,4,1,1,1,0,3460577.4480072483,6,45568121.75873732,5,1,0.0,,0,0,0,0.0,246674.18263810597,19881939.12063134,0.0,2016,SCF,1,0,0.0,5,
21,211,4604.593663507823,2,55,4,8,2,1,1,2,1,47473.62564053265,2,35151.071025930105,2,2,0.0,1850.056369785795,0,0,0,1110.033821871477,1973.3934611048478,19117.249154453213,0.0,2016,SCF,0,1,0.0,3,0.46764232008592904
22,221,4676.942322436915,2,85,6,14,4,1,1,2,0,282343.1419673783,6,5867762.119503946,5,1,0.0,,0,0,0,125803.83314543405,812791.4317925592,3391770.0112739573,0.0,2016,SCF,1,0,0.0,5,
23,231,4371.003167979882,2,30,1,8,2,2,1,2,2,33731.26032353635,2,4748.47801578354,1,2,0.0,740.0225479143179,1,1,0,308.34272829763245,0.0,555.0169109357385,0.0,2016,SCF,0,1,1.0,3,0.26326530612244897
24,241,6779.456046927471,1,48,3,12,4,2,1,1,2,187395.89068631304,5,276275.0845546787,3,1,104836.52762119504,,0,0,0,7400.22547914318,0.0,22200.676437429538,124077.11386696731,2016,SCF,1,0,0.0,5,
25,251,5878.641897653631,1,68,5,7,1,1,1,1,0,48722.9315784414,2,-851.0259301014656,1,2,0.0,1233.3709131905298,0,0,0,296.0090191657272,456.34723788049604,752.3562570462233,15663.810597519729,2016,SCF,0,1,0.0,2,0.30376766091051804
26,261,4272.968250484546,1,27,1,8,2,1,1,1,3,34980.56626144511,2,8141.481397970688,1,2,0.0,678.3540022547915,1,1,1,0.0,0.0,2097.9639233370913,6043.517474633596,2016,SCF,0,1,1.0,3,0.23270772594752187
27,271,4555.397791876602,2,61,4,5,1,3,0,2,2,27484.730633992585,1,16958.850056369785,2,1,111003.38218714768,,0,1,0,61.668545659526494,0.0,61.668545659526494,112360.09019165728,2016,SCF,1,0,1.0,2,
28,281,26.705260317423445,1,74,5,13,4,5,1,1,1,13341338.11092758,6,176748218.7147689,5,1,0.0,,0,0,0,66602.0293122886,33301.0146561443,174851294.25028184,37001.1273957159,2016,SCF,1,0,0.0,5,
29,291,5575.889907081674,1,42,2,12,4,1,1,1,1,109938.92253597034,4,218923.33709131906,3,1,117170.23675310034,,0,0,0,2158.3990980834274,20967.305524239007,187225.70462232243,150471.25140924464,2016,SCF,1,0,0.0,5,
30,301,7044.294646045203,1,50,3,8,2,1,1,1,0,117434.75816342287,4,121771.9436302142,3,1,149237.8804960541,,0,0,0,494.5817361894025,5180.157835400226,94391.10935738444,176742.05186020292,2016,SCF,1,0,0.0,3,
31,311,3532.90532744928,1,51,3,8,2,1,1,1,2,252359.7994575683,6,926508.2299887261,4,1,382344.98308906425,,0,0,0,1850.056369785795,0.0,612985.3438556934,388511.8376550169,2016,SCF,1,0,0.0,3,
32,321,3504.583977193958,1,42,2,12,4,1,1,1,2,261104.94102292953,6,341643.7429537768,3,1,400845.5467869222,,0,0,0,8633.59639233371,49334.83652762119,117170.23675310034,710421.6459977452,2016,SCF,1,0,0.0,5,
33,331,5536.725306017155,2,57,4,13,4,1,1,2,0,77456.96815034273,3,83129.19954904172,2,1,103603.1567080045,,0,0,0,4316.798196166855,0.0,12333.709131905298,108043.29199549042,2016,SCF,1,0,0.0,5,
34,341,3481.8210904743146,1,55,4,11,3,1,1,1,0,137423.6531699629,4,1607772.9875986471,5,1,98669.67305524238,,0,0,0,9250.281848928975,616.6854565952649,1317856.8207440812,98669.67305524238,2016,SCF,1,0,0.0,4,
35,351,4979.014841100807,1,40,2,8,2,1,1,1,1,57468.07314380268,3,28615.438556933485,2,1,3453.4385569334836,,1,1,1,0.0,0.0,1.23337091319053,20720.631341600903,2016,SCF,1,0,1.0,3,
36,361,54.50768461831285,1,59,4,9,3,1,1,1,0,6084119.917615632,6,72904554.67869222,5,1,0.0,,0,0,0,24667.418263810596,2068363.0214205186,8583028.184892897,0.0,2016,SCF,1,0,0.0,4,
37,371,3647.985390746264,2,65,5,8,2,1,0,2,0,7495.835627452522,1,1492378.8049605412,5,1,0.0,,0,0,0,67835.40022547914,12333.709131905298,493348.36527621193,0.0,2016,SCF,1,0,0.0,3,
38,381,1872.7429621939657,1,58,4,12,4,1,1,1,2,979455.855320463,6,12854931.679819617,5,1,345343.8556933484,,0,0,0,73015.55806087937,325609.9210822999,8274932.130777903,345343.8556933484,2016,SCF,1,0,0.0,5,
39,391,4678.612650194406,1,48,3,13,4,5,1,1,2,137423.6531699629,4,586714.543404735,4,1,39467.86922209695,,0,0,0,2713.416009019166,0.0,157501.46561443066,39467.86922209695,2016,SCF,1,0,0.0,5,
40,401,4678.241489715886,2,43,2,9,3,2,1,2,0,39977.79001308013,2,51554.90417136415,2,2,0.0,1356.708004509583,0,0,0,3700.11273957159,10360.315670800452,43167.98196166855,0.0,2016,SCF,0,1,0.0,4,0.40723852040816316
41,411,5372.195946902584,1,58,4,12,4,1,1,2,0,72459.74439870771,3,545149.9436302142,4,2,0.0,826.358511837655,0,0,0,616.6854565952649,6166.854565952649,538366.4036076663,8016.910935738444,2016,SCF,0,1,0.0,5,0.13685256861365236
42,421,4066.2390411973493,1,41,2,12,4,3,1,1,2,229872.2925752107,6,719832.2660653889,4,1,425512.96505073283,,0,0,0,10730.32694475761,17267.19278466742,471271.02593010146,523898.9627959414,2016,SCF,1,0,0.0,5,
43,431,5523.365975204676,1,31,1,8,2,3,1,1,1,112437.53441178784,4,218183.31454340473,3,1,80169.10935738444,,0,0,0,1480.0450958286358,36507.779030439684,135424.1262683202,124570.46223224352,2016,SCF,1,0,0.0,3,
44,441,5305.810830727208,1,45,3,7,1,1,1,1,5,31232.648447718846,2,192886.87711386697,3,1,49119.61330326945,,0,0,1,320.67643742953777,0.0,138741.8940248027,49119.61330326945,2016,SCF,1,0,0.0,2,
45,451,3799.452818530488,1,29,1,9,3,1,1,1,0,23736.812820266325,1,14960.789177001127,2,2,0.0,1147.0349492671928,1,1,0,160.33821871476889,0.0,12494.047350620067,2220.067643742954,2016,SCF,0,1,1.0,4,0.579876476906552
46,461,3612.565696095227,1,44,2,12,4,1,1,1,2,214880.62132030565,5,1251254.7914317925,4,1,474847.801578354,,0,0,0,87569.33483652762,55501.69109357384,727688.8387824126,474847.801578354,2016,SCF,1,0,0.0,5,
